n_inputs,avg_time
3,0.8170814650399344
5,1.0251026630401612
7,1.3114413465772357
10,1.7914987223488943
13,2.2705835819244387
15,2.4970729691641673
20,3.340120778764997
25,4.189317893981934
30,4.931937279020037
